Age, Height, Weight, Chest, Size, Color
25, 158.5, 53.7, 85.0,X_Small, yellow 
29, 158.8, 67.2, 91.2,Small, red 
20, 171.8, 69.8, 89.5,X_Small, yellow 
19, 165.5, 80.9, 102.1,Large, lavender 
23, 170.5, 72.2, 89.3,X_Small, yellow 
20, 160.8, 63.0, 97.6,Medium, blue 
21, 160.7, 65.4, 88.6,X_Small, yellow 
21, 149.0, 48.4, 84.7,X_Small, yellow 
18, 156.3, 65.3, 95.6,Medium, blue 
19, 167.7, 66.9, 82.4,XX_Small, pink 
22, 161.5, 66.8, 94.5,Small, red 
18, 157.0, 67.2, 90.7,Small, red 
26, 156.3, 59.7, 88.7,X_Small, yellow 
30, 162.7, 65.8, 92.9,Small, red 
29, 174.3, 65.7, 86.3,X_Small, yellow 
54, 163.5, 68.1, 91.7,Small, red 
27, 169.9, 89.4, 107.0,Large, lavender 
21, 150.3, 64.3, 88.3,X_Small, yellow 
37, 163.7, 85.7, 110.3,Large, lavender 
23, 154.4, 56.0, 85.4,X_Small, yellow 
18, 149.3, 61.3, 90.8,Small, red 
18, 164.5, 66.2, 91.3,Small, red 
19, 170.7, 71.9, 92.3,Small, red 
19, 161.1, 58.6, 88.9,X_Small, yellow 
19, 154.3, 57.6, 84.5,X_Small, yellow 
19, 160.4, 56.0, 87.4,X_Small, yellow 
34, 158.8, 61.6, 85.1,X_Small, yellow 
18, 154.3, 53.3, 81.1,XX_Small, pink 
29, 163.0, 67.8, 99.8,Medium, blue 
20, 167.4, 77.6, 97.4,Medium, blue 
19, 156.0, 65.8, 93.5,Small, red 
18, 162.0, 66.6, 100.1,Medium, blue 
19, 161.3, 54.9, 79.0,XX_Small, pink 
23, 154.1, 53.9, 85.4,X_Small, yellow 
28, 159.5, 81.4, 105.6,Large, lavender 
21, 160.0, 61.1, 92.3,Small, red 
20, 169.0, 77.7, 94.2,Small, red 
18, 161.2, 72.5, 93.0,Small, red 
39, 155.9, 66.4, 94.5,Small, red 
20, 167.8, 80.6, 103.7,Large, lavender 
23, 160.8, 52.2, 83.6,XX_Small, pink 
20, 155.9, 47.8, 79.0,XX_Small, pink 
29, 168.3, 84.5, 104.0,Large, lavender 
18, 158.6, 68.5, 98.5,Medium, blue 
18, 164.6, 64.6, 93.2,Small, red 
18, 165.6, 67.9, 90.8,Small, red 
19, 151.5, 50.9, 82.0,XX_Small, pink 
24, 175.4, 74.5, 95.3,Medium, blue 
23, 169.9, 67.0, 93.4,Small, red 
41, 157.3, 57.3, 96.9,Medium, blue 
23, 165.7, 59.7, 84.1,X_Small, yellow 
24, 165.5, 66.5, 99.8,Medium, blue 
24, 150.2, 50.5, 82.6,XX_Small, pink 
28, 165.3, 74.9, 95.3,Medium, blue 
18, 163.3, 75.6, 100.1,Medium, blue 
24, 158.5, 63.4, 95.6,Medium, blue 
19, 163.2, 76.8, 97.5,Medium, blue 
20, 161.6, 80.4, 101.9,Medium, blue 
32, 167.0, 76.2, 97.1,Medium, blue 
31, 163.2, 52.6, 89.0,X_Small, yellow 
41, 164.8, 65.3, 83.4,XX_Small, pink 
42, 157.6, 72.6, 104.6,Large, lavender 
31, 160.6, 55.7, 92.0,Small, red 
27, 165.2, 59.9, 86.9,X_Small, yellow 
24, 162.5, 75.9, 100.3,Medium, blue 
28, 159.8, 60.7, 95.5,Medium, blue 
28, 161.8, 66.9, 106.8,Large, lavender 
36, 167.4, 69.7, 98.8,Medium, blue 
27, 156.3, 61.4, 91.2,Small, red 
39, 172.8, 74.2, 102.7,Large, lavender 
29, 159.0, 67.1, 99.5,Medium, blue 
28, 163.6, 57.7, 83.4,XX_Small, pink 
44, 165.5, 80.3, 97.2,Medium, blue 
41, 170.7, 63.4, 92.8,Small, red 
21, 167.6, 68.1, 89.1,X_Small, yellow 
19, 163.3, 73.4, 99.8,Medium, blue 
19, 160.7, 67.2, 98.3,Medium, blue 
27, 161.8, 66.2, 91.9,Small, red 
20, 170.8, 70.3, 91.6,Small, red 
22, 173.5, 70.9, 92.0,Small, red 
24, 171.5, 58.6, 85.5,X_Small, yellow 
42, 157.0, 49.3, 92.3,Small, red 
38, 164.2, 73.3, 98.8,Medium, blue 
40, 178.8, 99.6, 109.8,Large, lavender 
43, 160.0, 64.8, 91.3,Small, red 
26, 167.5, 72.9, 93.6,Small, red 
48, 163.4, 90.2, 109.3,Large, lavender 
41, 157.6, 75.4, 103.7,Large, lavender 
21, 159.9, 65.4, 90.3,Small, red 
29, 159.8, 70.8, 88.3,X_Small, yellow 
30, 154.8, 64.7, 98.6,Medium, blue 
18, 160.7, 63.1, 92.0,Small, red 
32, 168.6, 66.6, 90.4,Small, red 
42, 164.0, 66.7, 86.5,X_Small, yellow 
24, 156.3, 49.7, 86.4,X_Small, yellow 
32, 159.1, 55.8, 84.8,X_Small, yellow 
29, 167.8, 92.1, 109.7,Large, lavender 
18, 167.0, 69.5, 93.7,Small, red 
19, 152.9, 56.3, 94.7,Small, red 
18, 161.6, 60.3, 86.0,X_Small, yellow 
21, 162.0, 64.7, 95.9,Medium, blue 
21, 151.0, 64.2, 94.5,Small, red 
28, 162.6, 70.1, 102.2,Large, lavender 
25, 160.0, 58.3, 85.9,X_Small, yellow 
25, 167.9, 84.3, 107.6,Large, lavender 
22, 160.0, 69.6, 105.5,Large, lavender 
41, 161.8, 73.5, 107.2,Large, lavender 
43, 162.9, 47.0, 86.3,X_Small, yellow 
33, 165.1, 60.8, 90.1,Small, red 
30, 159.6, 51.5, 79.1,XX_Small, pink 
45, 165.4, 71.7, 98.3,Medium, blue 
25, 177.6, 88.9, 103.5,Large, lavender 
38, 154.6, 53.2, 84.5,X_Small, yellow 
35, 167.6, 74.7, 99.0,Medium, blue 
30, 158.5, 62.2, 92.4,Small, red 
35, 159.4, 57.4, 89.9,X_Small, yellow 
22, 162.9, 56.5, 87.0,X_Small, yellow 
22, 158.1, 64.6, 97.2,Medium, blue 
28, 161.4, 52.9, 85.5,X_Small, yellow 
27, 155.9, 64.8, 94.7,Small, red 
27, 169.7, 75.1, 96.7,Medium, blue 
27, 167.4, 74.0, 102.6,Large, lavender 
31, 169.2, 75.8, 101.8,Medium, blue 
31, 161.5, 55.4, 84.9,X_Small, yellow 
44, 176.2, 85.2, 104.5,Large, lavender 
30, 157.3, 81.4, 98.6,Medium, blue 
30, 167.4, 82.4, 106.4,Large, lavender 
45, 153.1, 50.3, 87.4,X_Small, yellow 
28, 150.5, 60.7, 96.4,Medium, blue 
26, 170.0, 69.2, 85.8,X_Small, yellow 
30, 153.9, 64.0, 99.2,Medium, blue 
21, 162.0, 65.0, 88.5,X_Small, yellow 
18, 171.2, 58.0, 82.8,XX_Small, pink 
18, 155.4, 60.1, 92.7,Small, red 
22, 159.8, 60.1, 82.1,XX_Small, pink 
19, 161.2, 66.4, 96.8,Medium, blue 
40, 170.7, 70.3, 85.7,X_Small, yellow 
22, 161.1, 61.6, 92.2,Small, red 
33, 159.9, 65.4, 96.7,Medium, blue 
22, 156.9, 58.9, 84.8,X_Small, yellow 
33, 166.3, 52.4, 86.4,X_Small, yellow 
18, 166.6, 70.6, 96.2,Medium, blue 
33, 165.9, 67.6, 83.7,XX_Small, pink 
27, 154.3, 62.3, 96.5,Medium, blue 
20, 157.1, 62.8, 93.1,Small, red 
18, 161.8, 50.3, 79.5,XX_Small, pink 
23, 161.0, 59.9, 91.0,Small, red 
19, 151.2, 50.8, 78.6,XX_Small, pink 
18, 155.5, 52.0, 78.5,XX_Small, pink 
19, 172.9, 83.1, 105.0,Large, lavender 
20, 159.3, 62.2, 96.4,Medium, blue 
22, 160.9, 70.6, 97.3,Medium, blue 
18, 164.8, 66.7, 91.7,Small, red 
30, 163.1, 73.0, 95.3,Medium, blue 
35, 171.2, 84.2, 103.2,Large, lavender 
19, 154.1, 54.9, 79.9,XX_Small, pink 
20, 166.3, 60.9, 86.4,X_Small, yellow 
20, 161.4, 67.0, 99.0,Medium, blue 
20, 159.8, 71.1, 100.6,Medium, blue 
40, 161.7, 65.5, 95.1,Medium, blue 
23, 165.8, 77.1, 99.9,Medium, blue 
18, 164.2, 66.8, 93.5,Small, red 
19, 169.8, 70.7, 90.5,Small, red 
18, 164.8, 75.7, 104.5,Large, lavender 
22, 175.6, 85.7, 99.0,Medium, blue 
19, 165.1, 67.8, 92.2,Small, red 
24, 163.4, 63.0, 89.3,X_Small, yellow 
18, 170.9, 74.5, 88.2,X_Small, yellow 
20, 168.6, 56.4, 82.8,XX_Small, pink 
22, 164.5, 72.1, 100.9,Medium, blue 
19, 156.5, 64.6, 92.5,Small, red 
18, 153.7, 44.4, 80.5,XX_Small, pink 
19, 151.1, 59.1, 91.8,Small, red 
22, 164.9, 69.6, 94.1,Small, red 
21, 145.8, 44.5, 80.8,XX_Small, pink 
26, 175.9, 72.6, 89.3,X_Small, yellow 
18, 155.8, 70.7, 90.4,Small, red 
22, 168.8, 64.3, 93.7,Small, red 
20, 158.1, 65.4, 86.9,X_Small, yellow 
39, 158.3, 62.6, 90.2,Small, red 
28, 164.3, 73.6, 92.6,Small, red 
27, 175.2, 85.3, 103.1,Large, lavender 
38, 160.0, 75.0, 94.8,Small, red 
38, 161.8, 79.7, 108.6,Large, lavender 
43, 171.0, 83.7, 105.3,Large, lavender 
19, 158.5, 59.0, 83.8,XX_Small, pink 
18, 159.5, 51.2, 84.0,X_Small, yellow 
18, 161.4, 62.1, 94.5,Small, red 
27, 166.3, 81.0, 105.8,Large, lavender 
26, 161.7, 61.4, 91.5,Small, red 
19, 159.6, 54.4, 85.3,X_Small, yellow 
39, 160.2, 60.3, 87.5,X_Small, yellow 
25, 169.4, 79.2, 102.1,Large, lavender 
30, 151.0, 61.8, 101.5,Medium, blue 
41, 153.4, 60.3, 99.5,Medium, blue 
45, 163.4, 88.5, 112.7,X_Large, green 
35, 167.9, 84.2, 103.8,Large, lavender 
43, 161.8, 79.8, 101.1,Medium, blue 
42, 165.8, 63.4, 90.8,Small, red 
41, 164.3, 56.1, 87.0,X_Small, yellow 
23, 165.2, 77.4, 99.2,Medium, blue 
29, 161.5, 73.0, 98.8,Medium, blue 
25, 167.4, 85.0, 102.2,Large, lavender 
50, 152.7, 64.3, 99.5,Medium, blue 
30, 151.8, 50.5, 87.7,X_Small, yellow 
47, 165.3, 72.9, 84.0,X_Small, yellow 
29, 165.9, 83.5, 103.5,Large, lavender 
28, 157.0, 46.3, 80.7,XX_Small, pink 
28, 157.0, 80.2, 106.3,Large, lavender 
29, 165.3, 95.1, 115.3,X_Large, green 
25, 171.2, 58.2, 81.5,XX_Small, pink 
30, 151.9, 70.3, 99.9,Medium, blue 
27, 170.2, 101.9, 114.5,X_Large, green 
